"Sample"	"Plate"	"Series"	"Dilution"	"Rep"	"Water"	"Pyruvic_acid_methyl_esther"	"Tween40"	"Tween80"	"alpha_cyclodextrin"	"Glycogen"	"D_cellobiose"	"alfa_D_Lactose"	"Beta_methyl_D_glucoside"	"D_xylose"	"I_Erytritol"	"D_Mannitol"	"N_acetyl_D_glucosamine"	"D_glucosaminic_acid"	"Glucose_1_phosphate"	"D_L_alpha_glycerol_phospate"	"D_galactonic_acid_gama_lactone"	"D_galactouronic_acid"	"two_hydroxy_benzoic_Acid"	"four_hydroxy_benzoic_Acid"	"Gamma_hydroxybutyric_Acid"	"Itaconic_Acid"	"alpha_keto_butyric_acid"	"D_malic_Acid"	"L_Arginine"	"L_Asparagine"	"L_phenylalanine"	"L_serine"	"L_threonine"	"Glycyl_L_glutamic_Acid"	"Phenylethyl_amine"	"Putrescine"	"Diversity"
"X1IIC"	"1IIC"	9	2	1	"C"	0	0.6676	0.6759	0.7418	1.0071	0.8387	0.8447	0.8772	0.6657	0.9943	0.6609	1.1168	0.8852	0.7601	0.5403	0.4979	0.7207	0.7809	0.703	0.9171	0.9928	1.063	0.4598	0.7563	0.9053	0.8932	0.7771	0.7426	0.9936	0.5429	1.0857	0.8808	31
"X2IIC"	"2IIC"	9	2	2	"C"	0	0.4558	0.8287	0.2829	0.83	0.5419	0.5361	0.644	0.5308	0.7843	0.3247	0.7936	0.599	0.4623	0.3803	0.2359	0.5097	0.4842	0.4954	0.7418	0.7693	0.9072	0.1463	0.4509	0.5676	0.5273	0.5552	0.5263	0.4249	0.2929	0.7364	0.6503	31
"X3IIC"	"3IIC"	10	2	3	"C"	0	0.6717	0.5455	0.4473	0.9692	0.5909	0.9005	1.0224	0.7769	0.9165	1.1089	1.0791	0.8226	0.853	0.7929	0.6032	0.8003	0.7432	0.00320000000000009	0.893	1.2001	0.7021	0.4762	0.9523	1.012	1.0889	0.5129	0.8367	0.6312	0.4373	1.1001	0.8422	31
"X4IIC"	"4IIC"	10	2	4	"C"	0	0.7445	0.7661	0.7843	0.8675	0.8541	1.041	1.0924	0.6331	1.2504	0.6828	1.2796	1.1226	0.8055	0.4875	0.589	0.9189	1.0044	-0.4625	1.1278	1.3521	1.2055	0.5691	0.8104	1.1443	1.0991	0.7517	0.9544	0.5197	0.6503	1.3215	0.9757	30
"X5IIC"	"5IIC"	10	2	5	"C"	0	0.5926	0.7686	0.6593	1.1118	0.7231	0.8041	0.5475	0.699	1.0063	0.3218	1.0434	0.8694	0.7872	0.5179	0.5103	0.5749	0.6371	-0.3052	0.9967	1.0717	0.7164	0.5358	0.5704	0.7184	0.8166	0.8639	0.9059	0.782	0.6111	0.9986	0.8649	30
"X1IA"	"1IA"	11	1	1	"A"	0	0.8403	0.9312	1.0931	0.6793	1.0111	1.112	1.221	0.9436	1.3065	0.4575	1.3383	1.0848	0.9055	0.795	0.5818	1.0123	0.8479	1.0484	1.3005	1.4332	1.2107	0.5392	1.0447	1.3183	1.485	0.9252	1.258	0.4825	0.538	1.5063	1.1698	31
"X2IA"	"2IA"	11	1	2	"A"	0	0.6947	0.5827	0.7721	0.9986	0.8565	0.8416	0.6619	0.5148	0.808	0.4182	1.041	0.9267	0.7966	0.5379	0.2512	0.5466	0.815	0.394	1.1486	1.113	1.1567	0.1084	0.7613	0.9229	1.0586	0.6633	0.925	0.2893	0.3657	1.0543	0.8426	31
"X3IA"	"3IA"	11	1	3	"A"	0	0.6651	0.5142	0.4185	0.8137	0.6884	0.753	0.664	0.5523	0.8428	0.4387	0.8264	0.6354	0.601	0.3774	0.3115	0.4932	0.528	-0.1084	0.7934	0.8555	0.8771	0.3764	0.4275	0.6123	0.5991	0.5207	0.594	0.5374	0.443	0.887	0.6392	30
"X4IA"	"4IA"	12	1	4	"A"	0	0.4963	0.546	0.367	0.4715	0.5342	0.6858	0.803	0.5304	0.8806	0.295	0.9474	0.6233	0.5845	0.4539	0.442	0.4958	0.4362	-0.3453	0.8782	0.8902	0.364	0.2813	0.2797	0.6842	0.7782	0.4559	0.7364	0.4563	0.3451	1.0418	0.6749	30
"X5IA"	"5IA"	12	1	5	"A"	0	0.654	0.6627	0.6329	0.9265	0.8273	0.8672	0.8015	0.5466	1.004	0.4832	1.0877	0.7996	0.7227	0.4012	0.3762	0.6771	0.8266	-0.1384	1.2142	1.2117	1.2464	0.4806	0.7115	0.9257	0.9763	0.6895	1.0401	0.6411	0.5619	1.2019	0.9976	30
"X1IB"	"1IB"	12	1	1	"B"	0	0.0402999999999998	0.1841	0.1615	0.5923	0.2939	0.2697	0.3908	0.0144	0.3825	0.0453000000000001	0.6225	0.2331	0.274	0.0842999999999998	0.0253999999999999	0.2717	0.291	0.1488	0.4788	0.4957	0.4696	0.1009	0.1227	0.4407	0.3854	0.2732	0.152	0.4232	0.0153999999999999	0.3451	0.2439	31
"X2IB"	"2IB"	13	1	2	"B"	0	0.4312	0.3321	0.2975	0.7486	0.4106	0.6097	0.7345	0.419	0.7111	0.2369	0.7023	0.5505	0.6315	0.302	0.3218	0.4989	0.5344	-0.1782	0.7413	0.6124	0.845	-0.1655	0.6355	0.5753	0.723	0.5299	0.5767	0.6023	-0.1398	0.9064	0.5908	28
"X3IB"	"3IB"	13	1	3	"B"	0	0.3432	0.3091	0.2527	0.6449	0.4546	0.6749	0.7581	0.4428	0.7705	0.2779	0.8776	0.5628	0.6611	0.2833	0.1974	0.4347	0.5254	-0.4763	0.7249	0.7631	0.6774	0.2136	0.4152	0.5922	0.5888	0.3372	0.578	0.3948	0.2891	0.6985	0.611	30
"X4IB"	"4IB"	13	1	4	"B"	0	0.4209	0.3971	0.2635	0.6386	0.5977	0.6829	0.7689	0.5279	0.8305	0.2127	0.8654	0.7316	0.6464	0.303	0.2575	0.5359	0.5415	-0.435	0.8168	0.7867	0.4119	0.2854	0.456	0.754	0.5205	0.4561	0.5571	0.2495	0.3532	0.7402	0.7197	30
"X5IB"	"5IB"	14	1	5	"B"	0	0.5727	0.5123	0.3974	0.7141	0.6628	0.7433	0.8028	0.6141	0.8771	0.2609	1.042	0.6507	0.6544	0.5123	0.5263	0.6332	0.5864	-0.1808	0.8233	0.8517	0.8082	0.4278	0.5526	0.645	0.7367	0.6319	0.7031	0.4762	0.465	0.776	0.679	30
"X1IC"	"1IC"	14	1	1	"C"	0	0.4321	0.4285	0.558	0.8777	0.2321	0.7659	0.7086	0.2551	0.8881	0.2878	0.8863	0.6241	0.2867	0.2972	0.2575	0.5027	0.5593	0.2326	0.8086	0.9644	0.3994	0.2614	0.5682	0.8224	0.8774	0.5118	0.5788	0.18	0.2283	0.9015	0.772	31
"X2IC"	"2IC"	14	1	2	"C"	0	1.241	1.0085	1.0068	1.4881	1.3237	1.1209	1.2441	1.0578	1.4109	0.3554	1.2481	1.2	1.197	0.8604	0.5063	1.1033	1.1697	0.3471	1.4381	1.312	1.5345	0.5061	1.1968	1.0763	1.2119	1.2376	1.1188	0.8296	0.8646	1.482	1.1582	31
"X3IC"	"3IC"	15	1	3	"C"	0	0.6848	0.5926	0.5048	0.55	0.8013	0.7759	0.8344	0.725	1.0047	0.4308	1.0121	0.8064	0.8299	0.608	0.571	0.691	0.7297	-0.4715	1.0724	1.0486	1.0265	0.465	0.8669	0.8952	1.0151	0.6694	0.887	0.6098	0.3891	1.098	0.9028	30
"X4IC"	"4IC"	15	1	4	"C"	0	0.5121	0.34	0.3374	0.3575	0.4467	0.6914	0.7339	0.4554	0.8373	0.4435	0.8638	0.6665	0.6503	0.3042	0.3346	0.502	0.6577	-0.1965	0.7611	0.9101	1.0154	0.3556	0.6386	0.7934	0.7536	0.3582	0.6193	0.3255	0.4293	0.8484	0.6452	30
